sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Aesculus californica,meansup,rcp45,hades,nd_change_prop,2055,-0.29681896607021924,28200.821698824744,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp45,hades,fd_change_prop,2055,-0.00916258409491821,39737.17712820705,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp45,hades,nd_change_prop,2085,-0.39898014995556574,24103.684272932223,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp45,hades,fd_change_prop,2085,-0.08476537804166186,36705.15435007562,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp85,cnrm,nd_change_prop,2055,-0.17812334908517335,32961.06659951633,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp85,cnrm,fd_change_prop,2055,0.10898373493408224,44475.392632526266,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp85,cnrm,nd_change_prop,2085,-0.30128347861903865,28021.774033591508,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp85,cnrm,fd_change_prop,2085,0.08565777761634144,43539.91352895065,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp85,hades,nd_change_prop,2055,-0.4205303266280825,23239.422211534667,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp85,hades,fd_change_prop,2055,-0.02825772199811358,38971.37351101754,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp85,hades,nd_change_prop,2085,-0.5747653412286423,17053.882590026104,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp85,hades,fd_change_prop,2085,-0.13186518589695773,34816.23354691763,0.1952174819106438,8879.262208555181
Aesculus californica,meanthr,rcp45,cnrm,nd_change_prop,2055,-0.49280009461238583,16159.550130576852,0.17359243582293982,7370.478927966256
Aesculus californica,meanthr,rcp45,cnrm,fd_change_prop,2055,-0.19160347018514823,25755.770279460445,0.1952174819106438,8879.262208555181
Aesculus californica,meanthr,rcp45,cnrm,nd_change_prop,2085,-0.5746397020674566,13552.114235402012,0.17359243582293982,7370.478927966256
Aesculus californica,meanthr,rcp45,cnrm,fd_change_prop,2085,-0.2413081401984725,24172.16370092557,0.1952174819106438,8879.262208555181
Aesculus californica,meanthr,rcp45,hades,nd_change_prop,2055,-0.5068860414400924,15710.76738933204,0.17359243582293982,7370.478927966256
Aesculus californica,meanthr,rcp45,hades,fd_change_prop,2055,-0.21892285706265907,24885.365933768822,0.1952174819106438,8879.262208555181
Aesculus californica,meanthr,rcp45,hades,nd_change_prop,2085,-0.6345000496631841,11644.944542482475,0.17359243582293982,7370.478927966256
Aesculus californica,meanthr,rcp45,hades,fd_change_prop,2085,-0.34063526829297863,21007.569842133817,0.1952174819106438,8879.262208555181
Aesculus californica,meanthr,rcp85,cnrm,nd_change_prop,2055,-0.4319008067189652,18099.820791467624,0.17359243582293982,7370.478927966256
Aesculus californica,meanthr,rcp85,cnrm,fd_change_prop,2055,-0.11965567520135108,28048.04988652507,0.1952174819106438,8879.262208555181
