species,model,unres,occ,ratio
Quercus douglasii,median,125185.162274779,115702.549709524,0.924251305882076
Quercus engelmannii,mean,231683.361527448,16766.3002803142,0.072367304107541
Quercus engelmannii,meansup,186723.218126885,22009.782466817,0.117873838548887
Quercus engelmannii,meanthr,196925.850851195,10403.6410695938,0.0528302456210038
Quercus engelmannii,meanw,229759.090114698,12992.6136755416,0.05654885588664
Quercus engelmannii,median,213609.753589574,18070.39930471,0.0845953848129528
Quercus kelloggii,mean,98186.1257661086,89029.8192039695,0.906745413461464
Quercus kelloggii,meansup,114087.604584926,91240.5216181244,0.799740882894998
Quercus kelloggii,meanthr,83473.946023134,76031.2241096779,0.910837785104906
Quercus kelloggii,meanw,118256.093242535,94236.5620837466,0.796885466954111
Quercus kelloggii,median,92757.6942418439,84375.6576810931,0.909635134537771
Quercus lobata,mean,122638.127935493,92557.1656251278,0.754717698184473
Quercus lobata,meansup,116158.835287315,91359.6173672964,0.786505969531473
Quercus lobata,meanthr,97348.1477381898,78850.4171674962,0.809983743908083
Quercus lobata,meanw,136103.497942556,92320.9693360433,0.678314449897595
Quercus lobata,median,109355.806552487,91456.29726812,0.836318620394652
Quercus sadleriana,mean,12075.5519366467,2588.475698957,0.214356719472303
Quercus sadleriana,meansup,6136.14997681499,1737.21583214726,0.283111696863865
Quercus sadleriana,meanthr,3107.74403488082,2014.82153560992,0.648322871187552
Quercus sadleriana,meanw,35832.0110737226,2601.96222796201,0.0726155789193246
Quercus sadleriana,median,5107.24866174145,3072.09706723435,0.601517034063276
Quercus wislizeni,mean,101309.624896649,85871.5083397174,0.847614512711097
Quercus wislizeni,meansup,95876.5955403508,84925.6250540714,0.885780565897643
Quercus wislizeni,meanthr,83274.5201959938,76644.5549205684,0.920384227254372
Quercus wislizeni,meanw,108711.533166608,85451.3126643801,0.78603723243807
Quercus wislizeni,median,89169.5083100526,79831.5240995086,0.895278280798916
Rhododendron occidentale,mean,88847.8728680093,18799.3851075593,0.211590716814203
Rhododendron occidentale,meansup,55064.8770359546,8551.04345593105,0.155290339617896
Rhododendron occidentale,meanthr,52113.4556964956,10432.1514746784,0.200181533449526
Rhododendron occidentale,meanw,117550.893976912,16933.5846249472,0.144053218585246
Rhododendron occidentale,median,60281.7587886729,45038.7233291358,0.747136849258597
Rhus integrifolia,mean,9790.82710009613,5140.16913348341,0.524998458346072
Rhus integrifolia,meansup,32780.3113203304,7378.56066072099,0.225091232008672
Rhus integrifolia,meanthr,13911.1381674702,5957.37702355886,0.428245119259154
Rhus integrifolia,meanw,20329.2710207171,6152.5300896941,0.302643911010099
Rhus integrifolia,median,11556.9762198479,5442.99543653851,0.470970549129514
Rhus ovata,mean,72444.4825315906,15878.5185911942,0.219181889859868
Rhus ovata,meansup,105880.515482743,14125.1236098959,0.133406260306677
Rhus ovata,meanthr,55028.5716099104,14476.4321424277,0.263071195906175
Rhus ovata,meanw,150057.843571435,15341.900408064,0.10223990991021
Rhus ovata,median,64594.3679706237,16030.9544744139,0.24817882701019
Ribes lasianthum,mean,74294.7728697401,1371.03136196827,0.0184539410918191
Ribes lasianthum,meansup,43714.2909323291,2525.25831528705,0.0577673401862156
Ribes lasianthum,meanthr,28426.9340485689,1381.3836129834,0.0485941822154733
Ribes lasianthum,meanw,119119.750324277,1286.32197590924,0.0107985617196772
Ribes lasianthum,median,61787.4623012005,395.55568109234,0.00640187614704246
Ribes malvaceum,mean,99381.0757525115,12884.6009757941,0.129648435360879
Ribes malvaceum,meansup,91639.9779106993,8106.7956184637,0.0884635265447528
Ribes malvaceum,meanthr,50461.5275871927,10499.084649412,0.20806117355981
Ribes malvaceum,meanw,119220.458805358,12630.1796204139,0.105939699838216
Ribes malvaceum,median,63481.9076222472,36241.5885284448,0.570896337017823
Rosa californica,mean,153783.525432969,86483.417905127,0.56237114906579
Rosa californica,meansup,126743.129133546,40057.9785022846,0.316056410916576
Rosa californica,meanthr,92823.4760116925,69682.4448295924,0.75069850670982
Rosa californica,meanw,191724.519878772,84056.9409741991,0.43842561727289
Rosa californica,median,106400.143886278,85210.5013950862,0.80084949402099
Salix lasiolepis,mean,140102.440735435,100961.295836349,0.720624817857388
Salix lasiolepis,meansup,148020.257054678,64403.8178930762,0.43510137851798
Salix lasiolepis,meanthr,99980.5008773057,80435.1161605926,0.804508033614486
Salix lasiolepis,meanw,171568.522712936,100633.318734172,0.586548844408652
Salix lasiolepis,median,117834.164951664,98106.1605634697,0.832578230632119
Salvia apiana,mean,125305.470724271,25707.7775048496,0.205160854959146
Salvia apiana,meansup,105250.014951279,24355.4748332663,0.231405903785768
Salvia apiana,meanthr,95900.8922124046,23374.0943595975,0.243731771627607
Salvia apiana,meanw,138924.290875416,27592.0333673087,0.198612015173449
Salvia apiana,median,104575.704230598,23926.0218214347,0.228791400425818
Salvia columbariae,mean,109976.937356714,77332.1601497769,0.703167064008588
Salvia columbariae,meansup,71957.9607563526,37031.0256863812,0.514620276855358
Salvia columbariae,meanthr,66540.6813343957,52813.5290316414,0.793702859251329
Salvia columbariae,meanw,136107.94653387,76270.7348071153,0.560369447555625
Salvia columbariae,median,72868.1818427949,59771.2501614047,0.820265425180425
Salvia leucophylla,mean,102460.845836971,8180.57205050708,0.0798409576232022
Salvia leucophylla,meansup,104043.231386908,11006.0417548589,0.105783351863904
Salvia leucophylla,meanthr,43651.531809566,6029.50389020585,0.138128116935509
Salvia leucophylla,meanw,258756.163162684,8872.9782994035,0.0342908867984138
Salvia leucophylla,median,91654.894409814,8559.28952444381,0.0933860606087537
Salvia mellifera,mean,39994.307035027,13806.9077281972,0.345221826599099
Salvia mellifera,meansup,35352.9764203109,14218.0655643905,0.40217449855854
Salvia mellifera,meanthr,23038.1761435384,10384.3903322529,0.450747067283166
Salvia mellifera,meanw,114580.551617735,13686.183672427,0.119445957269319
Salvia mellifera,median,44782.023111303,17559.5193749231,0.392110899752786
Sambucus nigra,mean,165520.086010527,111012.580741473,0.670689481966631
Sambucus nigra,meansup,135069.649993532,53498.4420251303,0.396080407609645
